OBJECTID;CODE_VOIE;NOM_VOIE;TYPE_AMENAGEMENT;REALISATION;CIRCUL2R;CIRCVOIT;AFFECTATION;TOURNGAUCHE;SHAPE.LEN
58059;23221;Rue de la Synagogue;Bande;1995;unidirectionnelle;contresens;vélos + cyclomoteurs;;19.5280554232742
58060;23248;Rue  TABAZAN;Dérogation 2R;1999;bidirectionnelle; ;au statut de la rue : vélos seuls;;102.481387016453
58063;23256;Place de la Taconnerie;Dérogation 2R;1999;bidirectionnelle; ;au statut de la rue : vélos seuls;;49.0132706468032
58068;23396;Chemin Edouard- TAVAN;Bande;1995;unidirectionnelle;contresens;vélos + cyclomoteurs;;121.96974278114601
58069;23396;Chemin Edouard- TAVAN;Contresens;1995;; ;vélos + cyclomoteurs;;6.81575381010787
58070;23396;Chemin Edouard- TAVAN;Contresens;1995;; ;vélos + cyclomoteurs;;296.577933609841
58071;23442;Rue du Temple;Bande;2018;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;43.57050607922749
58072;23442;Rue du Temple;Bande;2018;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;37.2724227866345
58073;23442;Rue du Temple;Sas;2018;unidirectionnelle; ;vélos + cyclomoteurs;OUI;5.03648568457452
58074;23493;Rue de la Terrassière;Bande;1989;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;46.4448231776158
58075;23515;Rue des Terreaux-du-Temple;Bande;2006;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;100.73702857924901
58076;23515;Rue des Terreaux-du-Temple;Bande;2009;unidirectionnelle;dans le sens;;;58.2584364981038
58077;23515;Rue des Terreaux-du-Temple;Bande;2011;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;23.7181217637485
58078;23515;Rue des Terreaux-du-Temple;Dérogation 2R;2013;unidirectionnelle; ;au statut de la rue : vélos seuls;;9.69906114393567
58081;23515;Rue des Terreaux-du-Temple;Dérogation 2R;2013;unidirectionnelle; ;au statut de la rue : vélos seuls;;44.005338793255895
58084;23523;Chemin  Terroux;Bande;2010;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;137.096141983518
58085;13617;Rue de Lausanne;Bande;1991;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;19.331396742087698
58086;23574;Place Albert- THOMAS;Bande;1991;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;14.2798414805879
58092;23582;Chemin Frank- THOMAS;Bande;1992;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;58.4183201303961
58096;23582;Chemin Frank- THOMAS;Piste;1992;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;141.73418917191802
58097;23582;Chemin Frank- THOMAS;Piste;1992;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;56.6635600948081
58098;23590;Avenue de Thônex;Bande;2003;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;72.3361465658767
57973;24210;Avenue  TRONCHET;Bande;1988;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;102.77158120423
57974;24210;Avenue  TRONCHET;Bande;2012;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;254.590307861816
57976;24228;Rue  TRONCHIN;Bande;1990;unidirectionnelle;contresens;vélos + cyclomoteurs;;109.202698041876
57977;24295;Chemin des Tuileries;Bande; ;unidirectionnelle;contresens;vélos + cyclomoteurs;;237.522652294359
57978;24295;Chemin des Tuileries;Bande; ;unidirectionnelle;contresens;vélos + cyclomoteurs;;3.9809648811940797
57979;24295;Chemin des Tuileries;Piste; ;unidirectionnelle;contresens;vélos + cyclomoteurs;;16.9824352317902
57980;24368;Quai  TURRETTINI;Bande;1996;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;40.4435964963923
