COMMUNE;NOM_ECOLE;STATUT;LIEN_WWW;NB_EL_DERNIER_RELEVE;NB_1P_DERNIER_RELEVE;NB_2P_DERNIER_RELEVE;NB_3P_DERNIER_RELEVE;NB_4P_DERNIER_RELEVE;NB_5P_DERNIER_RELEVE;NB_6P_DERNIER_RELEVE;NB_7P_DERNIER_RELEVE;NB_8P_DERNIER_RELEVE;NB_CL_DERNIER_RELEVE;NB_EL_2018;NB_CL_2018;NB_EL_2017;NB_CL_2017;NB_EL_2016;NB_CL_2016;NB_EL_2015;NB_CL_2015;NB_EL_2014;NB_CL_2014;NB_EL_2013;NB_CL_2013;NB_EL_2012;NB_CL_2012;SHAPE.AREA;SHAPE.LEN
Vernier;Avanchet-Salève;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Avanchet-Salève.JPG;306.0;33.0;47.0;37.0;29.0;54.0;41.0;34.0;31.0;16.0;287.0;16.0;280.0;16.0;271.0;15.0;275.0;16.0;272.0;15.0;303.0;16.0;295.0;17.0;2948.9638475;331.334105311039
Lancy;Morgines;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Morgines.JPG;97.0;37.0;23.0;21.0;16.0;0.0;0.0;0.0;0.0;5.0;71.0;4.0;75.0;4.0;74.0;4.0;71.0;4.0;72.0;4.0;73.0;4.0;73.0;4.0;834.178061;143.581343532674
Meyrin;Livron;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Meyrin Livron.JPG;336.0;21.0;24.0;38.0;24.0;36.0;69.0;58.0;66.0;17.0;328.0;17.0;323.0;17.0;332.0;17.0;309.0;16.0;290.0;16.0;305.0;16.0;287.0;15.0;4680.3899465;372.082668126523
Onex;Gros-Chêne;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Onex Gros-Chêne.JPG;68.0;32.0;36.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;75.0;4.0;83.0;4.0;73.0;4.0;77.0;4.0;71.0;4.0;71.0;4.0;74.0;4.0;754.6751025;157.728255055776
Jussy;Jussy;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Jussy.JPG;126.0;13.0;7.0;21.0;19.0;13.0;20.0;19.0;14.0;6.0;133.0;6.0;131.0;6.0;115.0;6.0;113.0;6.0;122.0;6.0;110.0;5.0;105.0;5.0;1288.4816505;249.43576432027604
Hermance;Hermance;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Hermance.JPG;97.0;10.0;16.0;10.0;13.0;17.0;11.0;9.0;11.0;5.0;100.0;5.0;99.0;5.0;100.0;5.0;97.0;5.0;100.0;5.0;100.0;5.0;96.0;5.0;322.1028;101.828321151502
Aire-la-Ville;Aire-la-Ville;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Aire-la-Ville.JPG;121.0;10.0;10.0;13.0;16.0;20.0;27.0;11.0;14.0;6.0;126.0;6.0;135.0;6.0;127.0;6.0;140.0;6.0;134.0;6.0;123.0;6.0;127.0;6.0;2301.7787005;349.754375728371
Anières;Anières;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Anières.JPG;201.0;19.0;24.0;29.0;23.0;23.0;27.0;22.0;34.0;10.0;202.0;10.0;216.0;10.0;215.0;10.0;198.0;10.0;217.0;10.0;230.0;9.0;181.0;9.0;2312.3090335;425.16880034280206
Avully;Avully;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Avully.JPG;146.0;20.0;20.0;23.0;14.0;21.0;8.0;21.0;19.0;7.0;151.0;8.0;158.0;8.0;158.0;8.0;164.0;8.0;164.0;8.0;167.0;8.0;158.0;8.0;2162.9114995;412.57978440512
Avusy;Athenaz;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Athenaz.JPG;141.0;13.0;23.0;18.0;21.0;19.0;20.0;16.0;11.0;7.0;152.0;7.0;148.0;7.0;143.0;7.0;146.0;7.0;146.0;7.0;135.0;7.0;143.0;7.0;2403.38365;420.86475436800504
