id,updated,biographyUrl,canton,cantonName,council,faction,factionName,firstName,function,homepage,lastName,number,party,partyName,pictureUrl
4187,2019-11-19T12:15:42Z,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4187,NE,Neuchâtel,S,RL,Groupe libéral-radical,Philippe,Membre,www.avocatsneuchatel.ch,Bauer,3059,PLR,PLR.Les Libéraux-Radicaux,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3059.jpg
4238,2019-11-15T12:27:49Z,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4238,JU,Jura,S,S,Groupe socialiste,Elisabeth,Membre,elisabethbaume.ch,Baume-Schneider,3193,PSS,Parti socialiste suisse,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3193.jpg
3871,2020-05-15T10:29:47Z,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=3871,SO,Soleure,S,M-CEB,Le groupe du centre. PDC-PEV-PBD.,Pirmin,Vice-président(e),www.pirmin-bischof.ch,Bischof,2674,PDC,Parti démocrate-chrétien suisse,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2674.jpg
4189,2020-04-07T08:38:33Z,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4189,AG,Argovie,S,RL,Groupe libéral-radical,Thierry,Membre,www.thierry-burkart.ch,Burkart,3065,PLR,PLR.Les Libéraux-Radicaux,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3065.jpg
3830,2020-05-28T12:00:59Z,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=3830,TI,Tessin,S,S,Groupe socialiste,Marina,Membre,www.marinacarobbio.ch,Carobbio Guscetti,2666,PSS,Parti socialiste suisse,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2666.jpg
4075,2019-12-13T15:57:09Z,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4075,AR,Appenzell Rh.-Ext.,S,RL,Groupe libéral-radical,Andrea,Membre,www.andrea-caroni.ch,Caroni,2775,PLR,PLR.Les Libéraux-Radicaux,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2775.jpg
4159,2020-09-02T14:27:04Z,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4159,TI,Tessin,S,V,Groupe de l'Union démocratique du Centre,Marco,Membre,www.marcochiesa.ch,Chiesa,3067,UDC,Union Démocratique du Centre,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3067.jpg
4151,2020-02-14T15:26:48Z,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4151,UR,Uri,S,RL,Groupe libéral-radical,Josef,Membre,www.josef-dittli.ch,Dittli,3052,PLR,PLR.Les Libéraux-Radicaux,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3052.jpg
4055,2019-10-22T15:31:07Z,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4055,GR,Grisons,S,M-CEB,Le groupe du centre. PDC-PEV-PBD.,Stefan,Membre,www.stefanengler.ch,Engler,2768,PDC,Parti démocrate-chrétien suisse,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2768.jpg
4206,2020-05-13T11:27:23Z,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4206,OW,Obwald,S,M-CEB,Le groupe du centre. PDC-PEV-PBD.,Erich,Membre,www.erich-ettlin.ch,Ettlin,3107,PDC,Parti démocrate-chrétien suisse,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3107.jpg
4056,2019-12-13T15:58:56Z,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4056,AI,Appenzell Rh.-Int.,S,M-CEB,Le groupe du centre. PDC-PEV-PBD.,Daniel,Membre,,Fässler,2767,PDC,Parti démocrate-chrétien suisse,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2767.jpg
