"Data Source","Indicateurs du développement dans le monde",

"Last Updated Date","2021-05-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Bahreïn","BHR","Aide publique au développement nette reçue ($ US courants)","DT.ODA.ODAT.CD","39999.9991059303","939999.997615814","1350000.02384186","639999.985694885","579999.983310699","879999.995231628","9710000.03814697","50000.0007450581","200000.002980232","140000.000596046","949999.988079071","4699999.80926514","2839999.91416931","14239999.7711182","37689998.626709","25860000.6103516","163160003.662109","47959999.0844727","83959999.0844727","135289993.286133","206529998.779297","197160003.662109","156000000","255330001.831055","211220001.220703","74059997.5585938","99510002.1362305","8840000.15258789","-2609999.89509583","-1759999.99046326","137500000","94699996.9482422","80110000.6103516","111430000.305176","95790000.9155273","99870002.746582","132320007.324219","150279998.779297","199720001.220703","61880001.0681152","60430000.3051758","70809997.5585938","61580001.8310547","131770004.272461","58220001.2207031","","","","","","","","","","","","","","","","",
"Bahamas","BHS","Aide publique au développement nette reçue ($ US courants)","DT.ODA.ODAT.CD","-39999.9991059303","","","19999.9995529652","59999.9986588955","70000.0002980232","50000.0007450581","689999.997615814","50000.0007450581","70000.0002980232","79999.9982118607","250000","1220000.02861023","479999.989271164","519999.980926514","660000.026226044","589999.973773956","469999.998807907","779999.971389771","889999.985694885","1419999.95708466","1389999.98569489","1320000.05245209","889999.985694885","10039999.961853","699999.988079071","1639999.98569489","639999.985694885","1419999.95708466","3920000.07629395","3150000.09536743","2759999.99046326","2829999.92370605","1159999.9666214","1000000","4389999.8664856","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnie-Herzégovine","BIH","Aide publique au développement nette reçue ($ US courants)","DT.ODA.ODAT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9999.99977648258","9999.99977648258","9999.99977648258","15689999.5803833","70239997.8637695","408570007.324219","965799987.792969","851809997.558594","862049987.792969","914969970.703125","1286239990.23438","737929992.675781","640080017.089844","555780029.296875","541919982.910156","686090026.855469","539890014.648438","536840026.855469","599099975.585938","465010009.765625","417339996.337891","511179992.675781","625780029.296875","568020019.53125","521210021.972656","630200012.207031","356390014.648438","446119995.117188","440540008.544922","355950012.207031","464510009.765625","",
"Bélarus","BLR","Aide publique au développement nette reçue ($ US courants)","DT.ODA.ODAT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58009998.3215332","74760002.1362305","85430000.3051758","111139999.389648","98220001.2207031","136259994.506836","119800003.051758","102870002.746582","107139999.389648","120610000.610352","104580001.831055","-22309999.4659424","-250169998.168945","119099998.474121","214229995.727539","",
"Belize","BLZ","Aide publique au développement nette reçue ($ US courants)","DT.ODA.ODAT.CD","1820000.05245209","2819999.9332428","5519999.98092651","4059999.94277954","1549999.95231628","2130000.11444092","2579999.92370605","5840000.15258789","5519999.98092651","6840000.15258789","5949999.80926514","5070000.17166138","4010000.22888184","4670000.07629395","6219999.79019165","8710000.03814697","11630000.1144409","9529999.73297119","18219999.3133545","20719999.3133545","14500000","11310000.4196167","12029999.7329712","15060000.4196167","13899999.6185303","21930000.3051758","24059999.4659424","23479999.5422363","25010000.2288818","28520000.4577637","30319999.6948242","21770000.4577637","26159999.8474121","31110000.6103516","32169998.1689453","18829999.9237061","21030000.6866455","13770000.4577637","14520000.4577637","47400001.5258789","16149999.6185303","22489999.7711182","23280000.6866455","12680000.3051758","6690000.05722046","11720000.2670288","7730000.01907349","21280000.6866455","23370000.8392334","26239999.7711182","24200000.7629395","20989999.7711182","26209999.0844727","51270000.4577637","37560001.373291","28270000.4577637","34959999.0844727","34200000.7629395","33790000.9155273","37659999.8474121","",
"Bermudes","BMU","Aide publique au développement nette reçue ($ US courants)","DT.ODA.ODAT.CD","","","","","9999.99977648258","50000.0007450581","59999.9986588955","59999.9986588955","39999.9991059303","9999.99977648258","9999.99977648258","","9999.99977648258","","29999.9993294477","19999.9995529652","29999.9993294477","79999.9982118607","159999.996423721","150000.005960464","280000.001192093","209999.993443489","70000.0002980232","70000.0002980232","79999.9982118607","939999.997615814","90000.0035762787","230000.004172325","39999.9991059303","100000.001490116","42189998.626709","-4719999.79019165","-5000000","-4820000.17166138","-12479999.5422363","-2079999.92370605","-4070000.17166138","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivie","BOL","Aide publique au développement nette reçue ($ US courants)","DT.ODA.ODAT.CD","13319999.6948242","23370000.8392334","32680000.3051758","48099998.4741211","37880001.0681152","35369998.9318848","30040000.9155273","29959999.0844727","42020000.4577637","33270000.4577637","29780000.6866455","32020000.4577637","47720001.2207031","24090000.1525879","54000000","47400001.5258789","54849998.4741211","68169998.1689453","114919998.168945","123580001.831055","137940002.441406","124970001.220703","109500000","153070007.324219","130809997.558594","159199996.948242","251279998.779297","282070007.324219","408559997.558594","484279998.779297","485040008.544922","477809997.558594","656890014.648438","546619995.117188","539099975.585938","678820007.324219","760099975.585938","628289978.027344","549390014.648438","519809997.558594","426079986.572266","675960021.972656","600330017.089844","762630004.882813","706659973.144531","542880004.882813","807599975.585938","438790008.544922","589159973.144531","611690002.441406","560270019.53125","545969970.703125","661719970.703125","702299987.792969","674559997.558594","791309997.558594","696510009.765625","949159973.144531","728849975.585938","716130004.882813","",
"Brésil","BRA","Aide publique au développement nette reçue ($ US courants)","DT.ODA.ODAT.CD","39580001.8310547","290709991.455078","179990005.493164","185220001.220703","235490005.493164","234550003.051758","320920013.427734","180669998.168945","219669998.168945","139080001.831055","136850006.103516","120069999.694824","94430000.3051758","65099998.4741211","129809997.558594","132580001.831055","92529998.7792969","67559997.5585938","89279998.7792969","87760002.1362305","83150001.5258789","227130004.882813","177690002.441406","106720001.220703","153559997.558594","84970001.2207031","147740005.493164","293089996.337891","218750000","232399993.896484","174380004.882813","196139999.389648","-235589996.337891","197520004.272461","259869995.117188","264329986.572266","257799987.792969","229789993.286133","260609985.351563","144380004.882813","255679992.675781","252020004.272461","236410003.662109","229300003.051758","178279998.779297","217240005.493164","110199996.948242","328589996.337891","468630004.882813","374809997.558594","464779998.779297","840690002.441406","1288540039.0625","1155729980.46875","914150024.414063","1003190002.44141","674630004.882813","273890014.648438","444829986.572266","290230010.986328","",
"Barbade","BRB","Aide publique au développement nette reçue ($ US courants)","DT.ODA.ODAT.CD","","","","","","","1600000.02384186","589999.973773956","850000.023841858","1299999.95231628","2319999.9332428","4570000.17166138","4699999.80926514","4639999.8664856","3589999.91416931","4320000.17166138","5789999.96185303","4679999.82833862","8880000.11444092","6400000.09536743","7110000.1335144","10550000.1907349","8560000.4196167","16309999.4659424","5699999.80926514","6050000.19073486","4510000.22888184","4750000","1830000.04291534","990000.009536743","2279999.97138977","2319999.9332428","1279999.97138977","4980000.01907349","2900000.09536743","509999.990463257","5730000.01907349","5840000.15258789","17180000.3051758","-589999.973773956","1799999.95231628","319999.992847443","4750000","21270000.4577637","30299999.2370605","-629999.995231628","-889999.985694885","18700000.7629395","9279999.73297119","11750000","15579999.9237061","","","","","","","","","","",
"Brunéi Darussalam","BRN","Aide publique au développement nette reçue ($ US courants)","DT.ODA.ODAT.CD","9999.99977648258","479999.989271164","730000.019073486","39999.9991059303","70000.0002980232","79999.9982118607","79999.9982118607","70000.0002980232","29999.9993294477","29999.9993294477","9999.99977648258","50000.0007450581","19999.9995529652","119999.997317791","150000.005960464","140000.000596046","109999.999403954","79999.9982118607","100000.001490116","90000.0035762787","29999.9993294477","189999.997615814","270000.010728836","439999.997615814","810000.002384186","1399999.97615814","2539999.96185303","3240000.00953674","4519999.98092651","4559999.94277954","3880000.11444092","3619999.88555908","5369999.88555908","5070000.17166138","5260000.22888184","4289999.96185303","","","","","","","","","","","","","","","","","","","","","","","","","",
